/dealer
4
-20;469
-10;484
9;472
-5;460
#dealer

/shop
4
-38;-270
-50;-270
-45;-255
-37;-255
#shop

/points
71
164,-3,3
158,-113,3
166,-214,4
166,-322,4
186,-428,4
262,-361,3
342,-426,3
202,-528,6
193,-631,6
194,-736,7
174,-842,7
90,-901,7
-3,-864,7
-21,-762,7
20,-669,0
292,-593,1
390,-568,1
485,-526,1
536,-435,2
527,-326,2
489,-232,2
474,-129,2
392,-54,2
309,15,2
281,113,2
301,217,2
288,321,2
292,427,2
195,392,3
177,290,3
163,190,3
266,-205,5
364,-164,5
-100,-697,0
-196,-725,0
-294,-751,0
-366,-676,8
-418,-587,8
-448,-488,8
-425,-381,8
-402,-276,8
-354,-185,8
-268,-123,8
-189,-51,8
-203,49,8
-226,147,8
-233,248,8
-238,348,8
-199,441,9
-128,522,9
-28,513,9
-78,417,9
39,436,9
36,327,9
22,220,9
12,116,9
35,17,10
24,-84,10
7,-190,10
-5,-301,10
-1,-406,10
7,-507,10
-168,-620,11
-177,-518,11
-225,-430,11
-261,-334,11
-158,-309,11
-86,-465,12
-93,-230,11
-76,-93,11
-78,8,11
