/dealer
4
395,-594
374,-591
377,-569
395,-576
#dealer

/shop
4
-135;278
-146;296
-121;300
-120;271
#shop

/points
89
-622,-210,0
-595,-107,1
-598,-6,1
-590,100,1
-557,201,1
-501,291,1
-446,380,1
-408,479,1
-385,583,1
-601,-311,1
-367,687,1
-597,-414,1
-351,788,2
-599,-522,1
-599,-623,1
-333,887,2
-281,979,2
-179,972,2
-627,-719,1
-105,900,2
-91,796,2
-643,-820,4
-101,689,2
-723,-888,4
-108,582,2
-822,-927,4
-112,477,2
-924,-960,4
-82,379,7
-37,282,7
-855,-1036,5
25,202,7
-747,-1023,5
-527,-725,4
92,115,7
-641,-1038,5
129,16,7
-450,-651,4
-533,-1036,5
-420,-554,4
97,-79,7
-432,-999,5
-407,-454,4
173,-147,7
-343,-950,5
-354,-368,4
-263,-888,5
251,-212,7
-345,-266,4
-212,-794,5
341,-258,7
-343,-162,4
-176,-694,5
432,-307,7
-344,-60,4
-153,-589,5
526,-353,7
-346,40,4
-148,-482,5
622,-405,7
-341,141,4
-148,-374,5
718,-455,7
-311,245,4
-158,-267,5
812,-504,7
-241,328,4
-169,-160,5
900,-563,7
-165,-52,5
956,-653,7
970,-754,7
967,-860,7
966,-967,7
950,-1070,8
852,-1025,8
799,-934,8
-62,-34,9
742,-843,8
-309,494,3
633,-835,8
527,-832,8
442,-762,8
394,-670,8
375,-569,8
399,-465,8
187,-293,8
-58,-230,8
109,-225,8
