/dealer
4
-240,158
-240,140
-245,140
-246,159
#dealer

/shop
4
317;63
330;66
332;56
320;53
#shop

/points
100
3077,5122,0
3219,6525,0
2563,3658,0
2566,1847,0
2584,295,0
2522,-1034,0
3377,-4975,2
3881,-5506,2
4463,-3541,1
4978,-3253,1
5927,-2753,1
6022,-2061,1
5275,-504,0
4686,327,0
4721,1083,0
4303,1935,0
4581,3162,0
4651,4973,0
4591,6261,0
4422,7186,0
7274,-1788,7
7546,-2856,7
7895,-3640,7
7970,-4772,7
8760,-5635,7
8201,-7306,7
7687,-8671,7
5734,-8969,7
-338,-10779,6
-299,-12364,5
-280,-13411,5
588,-14489,5
1864,-14261,5
3145,-13160,5
3302,-11749,5
2988,-10762,5
3234,-8997,4
3746,-7888,2
4660,-7542,2
5172,-6446,2
3034,-7116,3
3090,-6205,0
2721,-4936,3
2794,-3547,3
-3289,-11596,8
-5025,-12198,8
-5801,-10375,9
-6684,-9310,9
-6962,-7816,9
-6732,-6381,9
-6472,-5109,9
-6237,-3995,9
-5269,-2785,9
-4224,-1846,9
-3328,-1057,9
-3140,336,9
-3521,1917,9
-3670,3518,9
-3826,4924,9
-3653,6023,9
-3125,7110,9
-2199,8133,9
-942,8641,9
-1037,6973,10
-1988,5831,10
-1302,5229,10
-615,5957,10
-78,6880,10
746,6820,11
437,5241,11
384,3643,11
114,2493,11
-1059,1268,13
-1562,729,13
-944,-466,13
-1954,-1491,13
-1687,-2008,13
-1024,-1295,13
-615,-2194,13
-1307,-3470,13
-2606,-5067,14
-3542,-4863,14
-4135,-5598,14
-3613,-6923,14
-2950,-8237,14
-2058,-8812,16
-1141,-8583,16
-1317,-7584,16
-1400,-6394,16
-1761,-5190,16
-3110,-9296,15
-2508,-10058,15
-1560,-10215,15
-81,-9668,12
23,-8304,12
-89,-7049,12
-223,-5560,12
-228,-4276,12
-2,-2936,12
176,-1743,12
333,-389,12
